month_date,year,month,quarter,season,field_key,yph_target,extent_ha,vp_sd,vp_sd_encoded,age_or_prune_cycle,plucking_rounds_month,gl_per_ha_per_round_todate,nitrogen_month,last_12m_nitrogen,last_12m_yph,ph_value,foliar_rounds_month,dap_todate,plucking_average_month,lph_month,pluckers_month,green_leaf_month,extent_plucked_month,yph_12m_fert,plucking_rounds_fert,foliar_rounds_fert,dolomite_applied_date,last_fertilized_date,last_weeding_date,weeded_until_date,Monthly_Rainfall,Evaporation,Sunshine Hours,Humidity_morning,Humidity_daytime,Soil Type,Soil Tempereture,Envirinment Tempereture
2021-01-01,2021,1,1,Q1,1/B/2,133.0097887,5,VP,1,31.32510626,3,41.21535676,66.42019051,220.1855341,720.0032761,4.824700593,4,21,20.04577362,5.33188596,379,9281.033913,62.03199666,1751.259895,37,4,2021-01-05,2021-01-28,2021-01-13,2021-01-09,207.2428844,99.90419565,135.6429858,89.78551,66.61574,Red Yellow Podzolic,19.88934,22.95484991
2021-01-01,2021,1,1,Q1,10/2A,72.56384358,3.6,VP,1,7.499414078,4,308.9584735,71.75725934,202.5277474,2186.795397,4.588316387,2,27,33.40124716,6.044831755,776,28609.01798,122.1258823,1772.451562,35,5,2021-01-15,2021-01-07,2021-01-10,2021-01-28,213.037899,84.25912187,149.7147677,88.32704,79.38215,Red Yellow Podzolic,18.70232,22.48997411
2021-01-01,2021,1,1,Q1,10/3,186.953012,2,VP,1,19.09189833,4,211.3362367,74.47726922,366.3695034,1644.663421,4.943723522,3,26,30.79047727,4.570257968,418,15491.07314,88.58041736,2306.386522,49,4,2021-01-25,2021-01-23,2021-01-28,2021-01-28,180.4982489,93.23708955,132.7398208,96.94109,74.3013,Red Yellow Podzolic,19.99797,20.39229365
2021-01-01,2021,1,1,Q1,10/4,233.2008288,1.25,VP,1,7.710318061,4,674.9993526,72.0525293,286.5425238,1061.142248,5.077179555,4,8,26.82349839,6.558911291,536,16555.39167,87.72900532,1746.874539,37,5,2021-01-11,2021-01-03,2021-01-28,2021-01-28,162.0314868,94.53842943,150.9268122,95.97075,68.31721,Red Yellow Podzolic,20.2772,21.10686108
2021-01-01,2021,1,1,Q1,11/1,254.2282056,2.98,VP,1,14.34308827,4,215.6037353,67.12353535,271.36131,2029.064974,5.135776819,2,19,21.60618794,6.456346264,738,20422.19017,109.8291981,2875.980961,38,5,2021-01-03,2021-01-11,2021-01-02,2021-01-28,167.9469415,90.29982887,142.5917531,94.50252,78.77674,Red Yellow Podzolic,20.75684,19.95762025
2021-01-01,2021,1,1,Q1,11/1A,285.8627675,2.27,VP,1,29.21759911,4,319.0282469,80.31555479,276.5055383,2309.172069,5.573409802,3,21,22.3399897,9.033422004,687,18033.04015,71.1036913,3080.240363,35,3,2021-01-01,2021-01-11,2021-01-03,2021-01-28,162.4703028,96.98568989,138.0916153,94.04996,69.7267,Red Yellow Podzolic,20.11425,21.6963983
2021-01-01,2021,1,1,Q1,12/1,457.7094088,4.25,VP,1,14.43555597,5,167.7643823,70.35561013,455.6298374,3389.659159,4.481147506,3,37,20.68967094,15.35533351,1567,35198.46905,105.8799257,3891.332877,40,4,2021-01-21,2021-01-18,2021-01-23,2021-01-28,207.459312,97.94522378,140.2334415,93.04441,66.0552,Red Yellow Podzolic,18.7572,19.63375729
2021-01-01,2021,1,1,Q1,13A,293.1454256,2,VP,1,31.84303158,5,277.7421253,73.97789836,430.4937045,447.7784315,5.385161065,5,29,29.70309071,6.385041624,1001,28928.30119,134.4687348,3260.458217,57,6,2021-01-04,2021-01-18,2021-01-18,2021-01-28,189.6376518,91.76088507,138.6889275,95.98886,70.73688,Red Yellow Podzolic,21.81865,21.46236342
2021-01-01,2021,1,1,Q1,16/1,303.9234477,2.4,VP,1,8.600308443,4,298.0932363,68.56865656,320.7594387,292.3113645,5.413529084,5,25,24.32512259,10.87606962,1093,26110.17917,99.73261178,2953.939521,43,5,2021-01-22,2021-01-23,2021-01-06,2021-01-28,218.8440525,92.33175439,152.5459407,89.16229,70.31338,Red Yellow Podzolic,21.28969,21.19858859
2021-01-01,2021,1,1,Q1,16/4,27.22009963,1.6,VP,1,27.78460872,0,1536.813897,70.47332099,155.6988283,151.5270761,5.761936251,6,20,53.29737497,2.200895737,151,7664.791825,53.86046028,1886.100306,38,5,2021-01-03,2021-01-16,2021-01-12,2021-01-28,168.3191493,93.93602162,141.0873671,96.14788,72.1271,Red Yellow Podzolic,22.84122,21.41004165
