iter	Passed	Remaining
0	36	7322
1	73	7237
2	114	7525
3	158	7773
4	203	7918
5	243	7858
6	277	7648
7	313	7529
8	347	7384
9	383	7284
10	418	7190
11	453	7097
12	491	7073
13	527	7012
14	561	6930
15	600	6902
16	636	6847
17	672	6802
18	714	6806
19	754	6791
20	787	6715
21	833	6739
22	878	6760
23	928	6807
24	976	6832
25	1023	6850
26	1069	6853
27	1114	6843
28	1156	6820
29	1209	6855
30	1254	6841
31	1313	6893
32	1352	6843
33	1388	6777
34	1431	6746
35	1474	6715
36	1513	6668
37	1552	6619
38	1594	6584
39	1636	6546
40	1675	6496
41	1714	6448
42	1755	6411
43	1795	6365
44	1846	6358
45	1890	6330
46	1933	6295
47	1973	6247
48	2009	6193
49	2048	6145
50	2084	6089
51	2122	6040
52	2161	5995
53	2204	5959
54	2246	5921
55	2287	5881
56	2325	5834
57	2363	5786
58	2400	5737
59	2440	5693
60	2478	5647
61	2521	5612
62	2562	5573
63	2605	5537
64	2654	5513
65	2707	5497
66	2757	5474
67	2804	5444
68	2852	5416
69	2895	5377
70	2940	5341
71	2983	5303
72	3027	5267
73	3071	5229
74	3119	5199
75	3161	5158
76	3206	5121
77	3252	5087
78	3297	5050
79	3346	5019
80	3395	4988
81	3437	4946
82	3479	4904
83	3519	4860
84	3561	4818
85	3603	4776
86	3645	4734
87	3687	4692
88	3724	4645
89	3764	4601
90	3805	4558
91	3846	4515
92	3894	4480
93	3936	4438
94	3978	4396
95	4018	4352
96	4058	4309
97	4101	4269
98	4141	4224
99	4190	4190
100	4231	4147
101	4271	4104
102	4311	4060
103	4350	4016
104	4391	3973
105	4431	3929
106	4470	3885
107	4510	3842
108	4549	3797
109	4589	3755
110	4725	3789
111	4766	3745
112	4808	3702
113	4846	3655
114	4884	3610
115	4923	3565
116	4962	3520
117	5002	3476
118	5042	3432
119	5081	3387
120	5095	3326
121	5136	3284
122	5179	3242
123	5222	3200
124	5273	3163
125	5313	3120
126	5368	3085
127	5422	3050
128	5463	3007
129	5508	2966
130	5549	2923
131	5588	2879
132	5627	2834
133	5665	2790
134	5703	2745
135	5740	2701
136	5778	2657
137	5815	2612
138	5855	2569
139	5895	2526
140	5934	2483
141	5975	2440
142	6014	2397
143	6054	2354
144	6096	2312
145	6134	2268
146	6174	2226
147	6213	2183
148	6253	2140
149	6291	2097
150	6329	2054
151	6369	2011
152	6407	1968
153	6446	1925
154	6486	1883
155	6532	1842
156	6579	1801
157	6623	1760
158	6659	1717
159	6696	1674
160	6734	1631
161	6774	1589
162	6813	1546
163	6852	1504
164	6894	1462
165	6933	1420
166	6973	1378
167	7015	1336
168	7054	1294
169	7094	1252
170	7136	1210
171	7177	1168
172	7215	1126
173	7254	1084
174	7294	1042
175	7331	999
176	7370	957
177	7409	915
178	7447	873
179	7486	831
180	7526	790
181	7572	748
182	7614	707
183	7650	665
184	7688	623
185	7726	581
186	7765	539
187	7804	498
188	7842	456
189	7886	415
190	7926	373
191	7964	331
192	8000	290
193	8039	248
194	8076	207
195	8115	165
196	8154	124
197	8194	82
198	8234	41
199	8273	0
